Nombre,Apellido,RUT,Dirección,Comuna,N° Cuenta Corriente,Banco,Monto de Garantía,Fecha de Pago de Garantía,N° Jornada de Remate,Fecha del Remate,Modelo de Automóvil,Categoría de Automóvil,Proveedor del Auto,Pago del Restante,Fecha de Pago del Restante,Devolución de Garantía,Fecha de Devolución,Cantidad de Click en Inicio,"Cantidad de Click en ""Quiénes Somos""",Cantidad de Click en Contacto,Cantidad de Click en Remates Activos,Cantidad de Click en Abonar Garantía,Cantidad de Click en Agregar al Carro,Cantidad de Click a Salón de Remate
Luis,Alfonso,15412882-4,"Pasadizo de Maxi Simó 53
Guipúzcoa, 02727",La Florida,ES5630655362254661431535,BCI,1986539.12,2024-05-31,30,2024-09-15,Ford Fiesta,SUV,Santander,17605348.41,2024-10-03,0.0,,98,25,32,156,22,38,63
Marino,Quintero,15894453-7,"Paseo de Natalia Gálvez 92 Puerta 7 
Cantabria, 18171",Santiago,ES6955200771765762160001,Banco Estado,1125433.99,2024-01-26,45,2024-06-18,Nissan Sentra,Coupé,Banco de Chile,0.0,,1125433.99,2024-07-07,22,3,26,170,47,23,92
Liliana,Verdugo,24761020-0,"C. Carolina Portero 58
Ávila, 46469",La Florida,ES9545028622590153367465,Banco de Chile,1101278.04,2024-04-06,31,2024-05-18,Honda Civic,Coupé,Scotiabank,15348088.59,2024-10-17,0.0,,16,48,38,143,26,66,38
Jessica,Espejo,1238997-3,"Plaza de Ruben Llorente 44
Madrid, 16376",Las Condes,ES9222295341650510040210,Santander,1610347.89,2024-06-11,13,2024-07-04,Toyota Corolla,Hatchback,BCI,0.0,,1610347.89,2024-09-15,79,34,18,108,6,75,15
Rosalinda,Martínez,22003648-0,"Calle Haydée Ferrero 38
Toledo, 08630",Providencia,ES0596203686558342797984,Banco Estado,738001.17,2024-06-27,9,2024-08-21,Honda Civic,Hatchback,Banco de Chile,0.0,,738001.17,2024-11-06,90,12,30,35,45,80,79
Humberto,Montaña,13545128-2,"Calle de Calisto Velázquez 19
Palencia, 03313",Santiago,ES6973930059672368137022,Santander,1641355.12,2024-06-15,16,2024-08-12,Chevrolet Spark,Hatchback,Santander,8210128.78,2024-11-30,0.0,,53,20,8,196,28,62,95
Adela,Bosch,16401649-8,"Plaza de María Teresa Corbacho 67
Almería, 47688",La Florida,ES0976206558672908758475,Scotiabank,1557867.29,2024-04-10,37,2024-12-11,Chevrolet Spark,Coupé,Banco Estado,10200226.46,2024-12-23,0.0,,59,46,49,87,27,74,77
Jacinto,Pozuelo,17735982-3,"Callejón de Ana Belén Parejo 871
Las Palmas, 30803",La Florida,ES8240796394993260692725,Santander,851329.32,2024-01-13,19,2024-04-04,Honda Civic,SUV,BCI,0.0,,851329.32,2024-05-25,40,40,38,108,48,12,1
Manuela,Villanueva,22451130-2,"Plaza de Sofía Cabrera 19
Guipúzcoa, 49429",Vitacura,ES8694112663109676857376,Banco de Chile,602129.85,2024-06-03,43,2024-10-25,Toyota Corolla,SUV,Banco Estado,10025693.17,2024-11-12,0.0,,0,31,11,54,15,28,47
Juan Luis,Ferrándiz,16964259-1,"Ronda Alicia Bárcena 65
Sevilla, 17543",Providencia,ES5864983479485110246688,Scotiabank,1431491.01,2024-01-26,14,2024-03-08,Ford Fiesta,Sedán,Santander,0.0,,1431491.01,2024-03-12,88,32,24,8,38,95,93
Eutimio,Sáenz,21264256-8,"Alameda África Solana 20
Soria, 14719",Providencia,ES7482256992667933062337,Scotiabank,1546002.32,2024-04-13,41,2024-12-08,Chevrolet Spark,SUV,Banco Estado,16645488.42,2024-12-25,0.0,,44,37,43,163,36,57,12
Rosario,Angulo,9285667-4,"Plaza Olga Navarro 9
Córdoba, 05824",Providencia,ES9433334541081872089198,Scotiabank,1892435.8,2024-07-05,41,2024-08-12,Chevrolet Spark,Hatchback,Scotiabank,0.0,,1892435.8,2024-09-25,10,22,49,16,48,43,51
Maximiano,Benet,3206956-8,"Acceso Maura Asensio 10
Baleares, 25890",Vitacura,ES1072838330390268850897,BCI,600404.67,2024-04-08,17,2024-06-09,Nissan Sentra,SUV,BCI,0.0,,600404.67,2024-07-15,8,41,47,158,22,10,0
Hernán,Arco,6148880-4,"Rambla Alejo Maza 6
Toledo, 44211",Ñuñoa,ES0737931812198102177385,Scotiabank,803223.5,2024-01-10,35,2024-04-16,Nissan Sentra,Hatchback,Scotiabank,0.0,,803223.5,2024-06-11,50,14,3,175,5,58,16
Arsenio,Rivas,17079260-2,"Callejón Urbano Navas 2
Murcia, 29301",Las Condes,ES9793071857857174015071,Banco Estado,1115274.19,2024-02-25,6,2024-08-04,Ford Fiesta,Sedán,BCI,0.0,,1115274.19,2024-08-29,34,22,17,200,11,100,77
Reina,Bayo,5030252-0,"Cañada de Íñigo Cerro 90 Apt. 78 
Las Palmas, 30706",Vitacura,ES4539681704705667633555,Scotiabank,897400.43,2024-05-20,40,2024-06-01,Toyota Corolla,Hatchback,BCI,15852341.72,2024-09-23,0.0,,99,48,24,35,49,48,22
Poncio,Donoso,2632372-K,"Paseo de Patricia Querol 1 Puerta 7 
Castellón, 43305",Las Condes,ES1566979893345047772739,Banco Estado,1108770.47,2024-04-19,20,2024-12-05,Chevrolet Spark,Hatchback,Banco Estado,0.0,,1108770.47,2024-12-09,35,22,6,79,31,76,5
Manu,Llabrés,15916222-2,"C. Elba Carnero 5 Apt. 38 
Zamora, 40938",La Florida,ES9265199272696767086963,Banco Estado,1735643.25,2024-07-12,18,2024-10-07,Nissan Sentra,Sedán,Scotiabank,0.0,,1735643.25,2024-10-10,41,6,11,78,42,33,98
Domingo,Bermúdez,18700504-3,"Vial de Adriana Garcés 816 Puerta 8 
Zamora, 24841",Ñuñoa,ES2799600803475959921274,Banco de Chile,1141393.58,2024-01-11,5,2024-05-02,Honda Civic,Camioneta,Santander,13481056.54,2024-11-09,0.0,,21,10,3,5,37,75,39
Maricela,Palmer,10304607-6,"Alameda Nydia Solís 903
Cáceres, 32802",Ñuñoa,ES2486796731621551017434,Santander,750409.8,2024-07-14,9,2024-07-14,Honda Civic,SUV,Scotiabank,0.0,,750409.8,2024-10-13,52,37,26,144,14,91,52
Vidal,Manjón,10999579-7,"Callejón Hermenegildo Barroso 11 Puerta 2 
Valladolid, 28321",Las Condes,ES5391326243240594563369,Banco Estado,551675.01,2024-05-06,44,2024-07-18,Chevrolet Spark,Coupé,Santander,0.0,,551675.01,2024-11-20,32,25,37,108,30,87,72
Juan Pablo,Iglesia,2707589-4,"Glorieta Chema Cabello 11
Granada, 11664",Santiago,ES2294684325977218680737,BCI,942506.43,2024-05-01,19,2024-08-27,Ford Fiesta,Sedán,Banco Estado,0.0,,942506.43,2024-09-25,36,16,38,129,14,57,26
Arcelia,Franch,19671356-5,"Avenida Anselma Cánovas 62
Granada, 31467",Ñuñoa,ES0515159049270872600735,Scotiabank,710285.28,2024-04-19,25,2024-08-12,Nissan Sentra,Camioneta,Santander,10023419.89,2024-12-03,0.0,,97,22,41,82,45,59,43
Aureliano,Jerez,7572029-7,"Paseo de Saturnino Almansa 40 Piso 8 
Almería, 29731",Las Condes,ES7782955819842265960260,Scotiabank,1730688.9,2024-05-14,5,2024-08-16,Nissan Sentra,Hatchback,BCI,5768527.51,2024-11-05,0.0,,45,41,28,54,9,79,0
Buenaventura,Lledó,5409412-4,"Vial de Berto Hernando 552 Puerta 4 
Huesca, 09994",Vitacura,ES8011443525998549968304,Banco de Chile,1743538.81,2024-05-08,10,2024-12-10,Chevrolet Spark,Sedán,BCI,0.0,,1743538.81,2024-12-13,64,14,4,97,37,76,68
Adrián,Garcés,1960597-3,"Rambla de Áurea Márquez 55 Piso 5 
Sevilla, 38603",La Florida,ES3299565634930079745984,Banco Estado,1203662.4,2024-03-15,34,2024-08-14,Chevrolet Spark,Sedán,Scotiabank,19726978.19,2024-11-29,0.0,,64,15,36,70,50,67,67
Toni,Uribe,16492001-1,"Rambla Rebeca Olivé 953
Ourense, 43486",La Florida,ES3248582354501164591846,Banco de Chile,682104.33,2024-05-31,22,2024-09-17,Toyota Corolla,Camioneta,Banco de Chile,10965942.46,2024-12-26,0.0,,14,41,26,178,27,86,23
Severino,Pont,7490217-0,"Ronda Luisina Salas 74 Piso 5 
Zamora, 18601",Ñuñoa,ES9528506899781420505282,Scotiabank,963971.73,2024-01-17,5,2024-05-04,Nissan Sentra,Camioneta,Scotiabank,19462625.09,2024-11-08,0.0,,10,46,2,141,43,1,45
Haydée,Armas,24098501-2,"C. Amparo Porcel 3
Salamanca, 46896",Ñuñoa,ES7363026903388598297488,Banco Estado,899585.74,2024-05-10,15,2024-07-06,Ford Fiesta,SUV,BCI,0.0,,899585.74,2024-10-21,69,25,37,37,28,79,95
Felicia,Madrid,22118906-K,"Urbanización Candelas Hervia 19 Piso 3 
Santa Cruz de Tenerife, 28249",Las Condes,ES4616404882160957598051,Santander,1105549.55,2024-03-25,24,2024-05-09,Honda Civic,SUV,Scotiabank,0.0,,1105549.55,2024-07-16,82,18,24,104,28,50,5
Sonia,Cuevas,11442462-5,"C. de Marina Baeza 95
Segovia, 26718",Las Condes,ES6661745895886823287256,Banco de Chile,1780501.7,2024-05-16,41,2024-07-29,Honda Civic,SUV,Scotiabank,0.0,,1780501.7,2024-12-18,63,37,7,58,30,97,99
Eustaquio,Villalonga,17109571-9,"Cuesta Águeda Rico 65 Apt. 53 
Girona, 11102",Providencia,ES7930994887419947398206,Banco Estado,1744605.39,2024-07-04,3,2024-11-06,Chevrolet Spark,Coupé,BCI,0.0,,1744605.39,2024-12-08,97,39,41,147,1,44,45
Bartolomé,Raya,4527309-1,"Acceso Alexandra Matas 72
La Coruña, 44542",La Florida,ES5965340402994106681499,Scotiabank,1036457.76,2024-01-23,17,2024-11-29,Honda Civic,SUV,BCI,0.0,,1036457.76,2024-12-23,60,0,36,22,50,85,42
Leonardo,Naranjo,3832484-5,"Plaza Gaspar Murcia 7 Piso 1 
Melilla, 10555",Santiago,ES6047667783202728808541,Scotiabank,1121721.14,2024-07-14,23,2024-07-17,Toyota Corolla,Camioneta,Scotiabank,7971830.27,2024-08-18,0.0,,70,26,36,91,0,26,27
Paula,Montes,15101400-3,"Camino de Griselda Cañas 32
Alicante, 07596",Providencia,ES7034990217107421543026,Banco de Chile,1905822.65,2024-02-14,6,2024-05-16,Toyota Corolla,Coupé,Banco de Chile,0.0,,1905822.65,2024-05-19,42,45,45,176,5,4,22
Guiomar,Aliaga,20756150-9,"Cañada de Águeda Larrea 4
Palencia, 09975",Ñuñoa,ES9866892255125784896976,Santander,1214631.39,2024-06-30,49,2024-11-19,Honda Civic,Hatchback,Santander,0.0,,1214631.39,2024-12-14,5,42,36,57,0,38,30
Emelina,Roma,7229249-9,"Urbanización de Teófilo Priego 9
Madrid, 03680",Las Condes,ES9218593455470611002151,Banco Estado,1126002.9,2024-02-14,4,2024-09-03,Honda Civic,SUV,Santander,12992683.16,2024-12-10,0.0,,38,28,7,103,16,20,71
Carmelo,Montes,18903877-1,"Alameda Cipriano Cañas 520
Huesca, 45824",Las Condes,ES9885075222494129624850,Scotiabank,1048637.62,2024-01-09,6,2024-05-17,Honda Civic,Hatchback,Scotiabank,16782326.25,2024-06-09,0.0,,40,7,42,63,18,19,9
Remigio,Cobo,18259511-K,"Pasadizo de Agustina Cordero 592
Málaga, 03940",Vitacura,ES7313402052060379360929,BCI,1775011.81,2024-06-11,21,2024-07-31,Nissan Sentra,SUV,Scotiabank,0.0,,1775011.81,2024-12-01,28,39,29,37,50,79,44
Nilo,Hurtado,23682646-5,"Rambla Trini Falcó 4 Apt. 51 
Cádiz, 47897",Santiago,ES5906109242587188357093,Santander,1694063.96,2024-02-06,48,2024-02-18,Nissan Sentra,Coupé,BCI,13989818.34,2024-08-04,0.0,,16,24,21,193,8,27,42
Chucho,Sandoval,22636640-7,"Plaza Reynaldo Guijarro 6 Puerta 3 
Guadalajara, 50494",Santiago,ES4527983475333734530026,Banco de Chile,888377.09,2024-04-16,7,2024-07-05,Nissan Sentra,SUV,Banco de Chile,14137456.96,2024-12-08,0.0,,79,7,34,100,46,58,50
Goyo,Segovia,13378198-6,"C. Óscar Mata 35
Baleares, 03625",Las Condes,ES2751300902098675172374,Banco Estado,1758483.03,2024-06-26,15,2024-08-22,Honda Civic,Hatchback,BCI,9474096.28,2024-10-13,0.0,,83,7,22,125,35,41,20
Ildefonso,Gárate,22294667-0,"Alameda de Mercedes Arjona 14 Piso 8 
Granada, 44116",Santiago,ES3429688983260428440201,Banco de Chile,1426691.09,2024-03-10,34,2024-10-01,Toyota Corolla,Hatchback,Banco Estado,9938440.72,2024-10-30,0.0,,72,27,34,185,5,47,65
Ciríaco,Busquets,4624370-6,"Callejón de Azucena Gil 480
Asturias, 16046",Providencia,ES3495528679429888948684,Banco de Chile,1928901.2,2024-02-15,40,2024-10-30,Honda Civic,Hatchback,Banco de Chile,13889445.71,2024-11-26,0.0,,53,16,17,31,16,11,92
Guadalupe,Sanjuan,1776506-K,"Glorieta de Sofía Llano 5
Cuenca, 18103",La Florida,ES5550588271023653425814,Santander,1825799.67,2024-03-20,27,2024-12-24,Toyota Corolla,Sedán,Scotiabank,0.0,,1825799.67,2024-12-30,15,46,42,147,11,77,16
Raúl,Vilanova,7496030-8,"Plaza Dora Samper 63
Pontevedra, 25538",Vitacura,ES7238664428421917774886,BCI,781782.2,2024-02-02,43,2024-03-25,Chevrolet Spark,Sedán,BCI,13640720.97,2024-05-07,0.0,,62,30,0,176,3,18,58
Jose Antonio,Ferrera,1441142-9,"Via de Josefa Sancho 2
Asturias, 14480",Vitacura,ES0376323495720192352606,Banco Estado,881594.48,2024-03-22,31,2024-08-14,Honda Civic,Coupé,Scotiabank,0.0,,881594.48,2024-12-26,10,44,10,144,1,55,98
Rita,Pascual,3945296-0,"Cuesta Brígida Salamanca 83
Málaga, 33324",Santiago,ES6006349090451676004368,Banco Estado,1341749.68,2024-06-11,16,2024-07-21,Nissan Sentra,Coupé,Scotiabank,0.0,,1341749.68,2024-09-27,76,18,49,140,25,69,27
Dulce,Tello,7833683-8,"Urbanización de Marcelino Campo 59 Piso 0 
Málaga, 13892",Santiago,ES4223044503976406687780,Banco Estado,831869.2,2024-01-02,12,2024-04-03,Toyota Corolla,Sedán,Banco Estado,5825902.2,2024-07-21,0.0,,93,27,5,41,19,52,24
Gil,Montalbán,21186428-1,"Paseo Pastor Morata 18 Piso 3 
Castellón, 43420",Santiago,ES1580104801452762826766,Santander,1059201.58,2024-02-05,28,2024-03-25,Ford Fiesta,SUV,BCI,0.0,,1059201.58,2024-10-14,47,34,5,54,39,42,23
Eliseo,Frutos,22134278-K,"Avenida de Aurelio Sastre 38
Alicante, 28247",La Florida,ES2700783593331841170252,Banco de Chile,1885804.79,2024-05-11,40,2024-05-26,Honda Civic,Sedán,BCI,0.0,,1885804.79,2024-12-26,44,28,30,113,42,13,97
Hugo,Bejarano,21342358-4,"Ronda César Peñas 63 Piso 1 
Valladolid, 29760",Ñuñoa,ES3038778431670437820446,Banco Estado,1471330.73,2024-05-14,32,2024-07-20,Toyota Corolla,Sedán,Santander,0.0,,1471330.73,2024-11-16,59,28,28,24,14,10,100
Victoria,Meléndez,13789324-K,"Plaza de Néstor Agustín 638 Piso 2 
Barcelona, 23538",Ñuñoa,ES4764912312174380940909,Banco de Chile,1397181.51,2024-01-13,23,2024-02-18,Chevrolet Spark,Coupé,Santander,0.0,,1397181.51,2024-03-01,11,17,38,28,23,88,46
Anna,Palau,10253310-0,"Rambla Chus Barragán 52 Piso 4 
Lugo, 35751",Las Condes,ES3428127473820550794233,BCI,1860532.32,2024-01-17,17,2024-07-17,Toyota Corolla,Sedán,Banco de Chile,0.0,,1860532.32,2024-08-31,50,23,20,183,49,75,27
Adriana,Peláez,7961189-1,"Via de Esteban Ureña 451 Piso 3 
Pontevedra, 49792",Vitacura,ES9503614231052230477499,Banco Estado,861316.62,2024-06-18,5,2024-09-07,Toyota Corolla,Sedán,Banco Estado,0.0,,861316.62,2024-12-08,78,8,47,23,18,17,100
Salomón,Rincón,17566949-3,"Avenida Ruperto Cerdán 33
Asturias, 27339",Santiago,ES0850114806339965712375,Santander,565227.55,2024-02-01,50,2024-04-04,Ford Fiesta,Hatchback,Santander,11986638.62,2024-10-16,0.0,,28,30,37,43,39,72,5
Tamara,Vilanova,8948908-3,"Callejón de Ariel Lastra 22 Apt. 57 
Huelva, 15166",Ñuñoa,ES1094262291593290022406,Santander,1515077.99,2024-01-24,34,2024-03-13,Honda Civic,Coupé,Banco Estado,16653566.78,2024-12-18,0.0,,36,23,22,108,7,70,60
Dalila,Villanueva,7033073-3,"Pasadizo Anita Vazquez 32
Córdoba, 42272",Providencia,ES7040284537249243483938,Banco Estado,1440952.75,2024-05-15,38,2024-11-01,Nissan Sentra,Coupé,BCI,12116727.21,2024-11-03,0.0,,40,1,24,31,46,64,69
Elba,Santamaría,19163000-9,"Acceso de Belen Arias 46
Almería, 06005",Santiago,ES2173281836485475672000,BCI,1716005.33,2024-01-19,14,2024-02-24,Chevrolet Spark,Hatchback,Banco Estado,0.0,,1716005.33,2024-04-22,42,33,49,118,45,79,18
Yéssica,Blázquez,14667952-8,"Pasadizo de Ale Vidal 77
Segovia, 21374",Ñuñoa,ES9354311565100160240008,Banco de Chile,1271486.58,2024-04-08,43,2024-10-03,Ford Fiesta,Camioneta,Scotiabank,0.0,,1271486.58,2024-12-17,87,8,48,173,49,56,64
Juliana,Manrique,14576551-K,"Avenida de Mamen Rosales 30
Cantabria, 44363",Las Condes,ES8073520387477668045642,Banco de Chile,1830174.01,2024-04-13,33,2024-05-29,Ford Fiesta,Coupé,Banco de Chile,7466760.02,2024-12-11,0.0,,1,14,49,36,49,7,81
Paula,Bauzà,21581394-0,"Urbanización Guadalupe Portero 30
León, 21412",Providencia,ES8571270740081831175075,BCI,1332703.61,2024-05-07,23,2024-12-23,Toyota Corolla,SUV,Santander,15286201.92,2024-12-24,0.0,,44,3,4,151,29,59,30
Paz,Arévalo,13243934-6,"Alameda de Demetrio Perelló 51
Cáceres, 16932",Providencia,ES2347182737352622839824,BCI,1686505.37,2024-05-18,8,2024-08-07,Honda Civic,Camioneta,Banco de Chile,0.0,,1686505.37,2024-08-24,59,10,14,145,19,22,96
Albert,Aller,17941824-K,"Alameda Esperanza Navarrete 422
Vizcaya, 09967",Vitacura,ES4383012550228626760562,Banco de Chile,1460078.41,2024-02-09,9,2024-11-23,Ford Fiesta,SUV,BCI,0.0,,1460078.41,2024-12-28,93,43,24,98,22,41,41
Baudelio,Sola,18308973-0,"Camino Clementina Saez 90
León, 43440",Vitacura,ES7209769107586944109952,Santander,1681078.51,2024-07-09,33,2024-07-14,Chevrolet Spark,Sedán,Scotiabank,14377764.22,2024-10-14,0.0,,74,12,11,61,19,21,2
Gonzalo,Valle,22385734-5,"Pasadizo de Paulino López 76
Ávila, 24756",Vitacura,ES8590441069509051634778,Santander,1339793.46,2024-02-06,30,2024-09-06,Chevrolet Spark,Camioneta,Banco de Chile,0.0,,1339793.46,2024-12-03,84,20,27,31,0,48,8
Macarena,Taboada,9533605-1,"Paseo Baldomero Molins 390 Piso 9 
Cuenca, 36034",Ñuñoa,ES4320559010955024738653,Santander,1658321.41,2024-05-04,36,2024-07-10,Honda Civic,Camioneta,Banco Estado,12387401.35,2024-10-12,0.0,,24,40,27,103,46,47,19
Eutropio,Abella,10136082-2,"Callejón Leonel Seco 955 Piso 4 
Ourense, 43504",Ñuñoa,ES5285750670980393155140,Banco de Chile,830031.28,2024-02-17,3,2024-11-11,Nissan Sentra,SUV,BCI,14804304.42,2024-11-20,0.0,,7,31,13,55,36,87,78
Alfredo,Pina,6421944-8,"Acceso Sol Carbajo 94
Castellón, 43020",La Florida,ES6132688371700433487060,Santander,856672.5,2024-05-26,35,2024-07-05,Honda Civic,Sedán,Banco de Chile,9905486.28,2024-09-02,0.0,,2,32,28,51,25,10,76
José Mari,Aguilar,24721983-8,"Callejón Joan Vega 963
Santa Cruz de Tenerife, 36359",La Florida,ES0303469086551509443890,Banco Estado,852880.97,2024-03-20,5,2024-04-19,Chevrolet Spark,SUV,Banco de Chile,18733541.43,2024-05-18,0.0,,77,20,3,34,5,20,53
Seve,Benavent,6708895-6,"Pasadizo María Bastida 55 Apt. 54 
Huelva, 24839",Santiago,ES4414508865675738765489,BCI,1880940.48,2024-06-22,44,2024-06-25,Chevrolet Spark,Camioneta,BCI,11055879.48,2024-10-15,0.0,,45,3,25,88,0,75,52
Valero,Ferrán,7117493-K,"Vial Morena Amores 4 Puerta 9 
Teruel, 23080",Providencia,ES3075832912527224453153,BCI,1370983.41,2024-05-25,37,2024-10-08,Nissan Sentra,Hatchback,BCI,0.0,,1370983.41,2024-12-05,29,42,46,93,5,85,52
Darío,Isern,12755900-7,"Urbanización Bruno Melero 716 Piso 4 
Jaén, 49312",Las Condes,ES5792941102187736226368,BCI,875032.93,2024-07-11,6,2024-08-14,Toyota Corolla,Sedán,BCI,9074799.89,2024-12-07,0.0,,92,15,2,56,18,45,95
Emelina,Palacio,23784661-3,"Pasaje de Nando Amigó 4
Valladolid, 08768",Ñuñoa,ES5872994845085875144757,BCI,1762288.91,2024-07-08,25,2024-08-14,Toyota Corolla,SUV,Banco de Chile,18800908.29,2024-12-18,0.0,,65,1,19,52,10,11,47
Chus,Santamaría,20464017-3,"Acceso de Cristóbal Marí 64
Murcia, 47819",Santiago,ES3029829236884886563117,Banco de Chile,1131509.75,2024-07-05,26,2024-10-18,Ford Fiesta,Camioneta,Banco Estado,16799921.27,2024-12-27,0.0,,3,15,9,174,0,21,17
África,Bravo,2530797-6,"Calle de Melchor Cuervo 82
Badajoz, 24507",Providencia,ES5241446989385357433486,Banco Estado,1078683.61,2024-01-09,39,2024-03-01,Ford Fiesta,SUV,Banco Estado,19824515.93,2024-05-10,0.0,,46,32,23,105,4,15,82
Elba,Alcalde,15064699-5,"Vial Guadalupe Navas 6 Piso 1 
Vizcaya, 24849",Vitacura,ES8039509701351476706799,Scotiabank,1862498.6,2024-03-28,16,2024-04-18,Nissan Sentra,SUV,Scotiabank,12631451.69,2024-12-28,0.0,,25,47,2,103,48,23,37
Efraín,Portero,16127230-2,"Calle Fabricio Verdejo 9 Puerta 9 
Toledo, 25939",Las Condes,ES4061671983780806500528,Banco Estado,915236.64,2024-04-01,34,2024-05-06,Honda Civic,Camioneta,Scotiabank,17689528.84,2024-07-26,0.0,,95,34,6,100,28,74,86
Ovidio,Juárez,5227441-9,"Glorieta de Demetrio Guitart 733 Apt. 18 
Ciudad, 28916",Las Condes,ES8463569250832022177145,Banco de Chile,1233598.95,2024-02-22,18,2024-07-01,Ford Fiesta,Coupé,Banco Estado,15929745.39,2024-09-13,0.0,,3,37,9,117,19,60,4
Cayetano,Osuna,21732079-8,"Paseo de Borja Lucena 4
Burgos, 21613",La Florida,ES1447248953652897678805,Banco de Chile,1261582.76,2024-02-09,39,2024-03-18,Honda Civic,SUV,Scotiabank,0.0,,1261582.76,2024-06-19,99,30,16,116,23,39,34
Delia,Barriga,13040910-5,"Cuesta Candela Solana 98
Murcia, 18470",Ñuñoa,ES6420841438880294469749,Banco de Chile,1341816.96,2024-04-08,15,2024-12-25,Toyota Corolla,Coupé,Scotiabank,10124341.69,2024-12-28,0.0,,12,38,29,109,50,35,1
Prudencia,Llanos,21739807-K,"Calle Alex Alcalde 148 Piso 5 
Huelva, 38227",Providencia,ES9218695514848220849214,Scotiabank,954195.03,2024-05-17,2,2024-09-07,Ford Fiesta,Sedán,BCI,13733988.16,2024-12-09,0.0,,74,42,0,94,45,55,100
Haydée,Andrés,13037802-1,"Rambla Juan Francisco Soler 9 Apt. 07 
Soria, 24509",Santiago,ES3808332678967125948716,BCI,1313715.64,2024-04-01,43,2024-11-18,Ford Fiesta,SUV,Banco de Chile,13781528.17,2024-12-22,0.0,,77,8,42,69,26,8,32
Catalina,Baeza,17342159-1,"Plaza Merche Carrasco 6
Vizcaya, 18267",Vitacura,ES8210017858624815919569,Banco de Chile,1044050.23,2024-04-13,35,2024-05-06,Ford Fiesta,Sedán,Banco de Chile,19821842.5,2024-09-19,0.0,,83,24,12,125,32,91,27
Abel,Sola,18563419-1,"Rambla Borja Olivares 414 Piso 7 
Almería, 17616",La Florida,ES0367614092535274817043,Scotiabank,1302831.16,2024-01-25,24,2024-11-14,Ford Fiesta,SUV,BCI,0.0,,1302831.16,2024-12-28,50,34,50,7,41,93,55
Roberta,Angulo,1256789-8,"Avenida de Rosalva García 3
Córdoba, 41035",Vitacura,ES4948002292839820005947,Banco de Chile,1484514.67,2024-05-10,40,2024-11-29,Toyota Corolla,Coupé,Banco Estado,0.0,,1484514.67,2024-11-30,89,10,49,194,14,85,82
Perla,Solano,3717218-9,"Pasadizo Nazaret Sanmiguel 10 Apt. 05 
Vizcaya, 39763",Providencia,ES2937502733045425642149,Banco de Chile,1628763.37,2024-04-28,8,2024-08-10,Honda Civic,Camioneta,Banco Estado,0.0,,1628763.37,2024-11-19,9,19,3,81,45,74,5
Olga,Mascaró,3265578-5,"Avenida de Aurelio Cózar 5
Navarra, 08940",Las Condes,ES8128229179759114025629,Scotiabank,1923301.73,2024-05-07,9,2024-05-10,Honda Civic,Camioneta,Banco Estado,0.0,,1923301.73,2024-06-07,36,27,33,63,28,92,80
Esther,Rios,5805343-0,"Callejón de Tere Roldán 62 Puerta 3 
Álava, 13043",Providencia,ES4508542576653569111735,Santander,506202.54,2024-07-09,19,2024-10-16,Toyota Corolla,Camioneta,Scotiabank,0.0,,506202.54,2024-11-16,61,11,39,11,26,82,59
Graciano,Abril,20487172-8,"Pasaje José Luis Roselló 79
Palencia, 43540",Providencia,ES1639839388097458320949,BCI,1859279.87,2024-02-20,34,2024-08-17,Toyota Corolla,SUV,Banco Estado,8892985.54,2024-12-07,0.0,,35,50,15,118,49,59,65
Norberto,Roda,23621020-0,"Urbanización Jenny Vallés 6
Cuenca, 15132",Providencia,ES3633301505815481885004,BCI,1849550.88,2024-04-26,15,2024-08-13,Nissan Sentra,Sedán,Santander,0.0,,1849550.88,2024-10-01,5,26,35,186,38,67,87
Bernardo,Ramírez,12183786-2,"C. de Mamen Sevillano 94
Tarragona, 46183",Las Condes,ES9699484213627241135449,Scotiabank,971464.62,2024-06-05,20,2024-06-17,Chevrolet Spark,Camioneta,Santander,17855969.78,2024-10-26,0.0,,19,48,29,155,26,64,51
Elpidio,Morcillo,7163209-1,"Pasaje de Hernán Sales 62 Apt. 17 
Murcia, 22457",La Florida,ES0463309688878136372293,Scotiabank,1650392.0,2024-02-16,36,2024-03-28,Ford Fiesta,Camioneta,BCI,16005737.04,2024-06-18,0.0,,96,3,12,119,13,80,79
Mario,Anguita,23439147-K,"Plaza Benigna Ramirez 76 Puerta 7 
León, 43966",Ñuñoa,ES0752540517906303370568,BCI,792246.12,2024-04-25,1,2024-08-19,Toyota Corolla,Hatchback,Banco Estado,15514409.46,2024-11-27,0.0,,21,36,15,73,32,23,72
Etelvina,Campo,21031853-4,"Plaza Cirino Pinedo 13 Piso 5 
Cantabria, 49357",La Florida,ES5212309556930012058713,BCI,1191366.13,2024-04-23,10,2024-09-29,Toyota Corolla,Camioneta,BCI,6472462.0,2024-12-13,0.0,,7,39,41,65,16,21,91
Silvestre,Barrera,19545052-8,"Via de Julia Tejedor 72 Puerta 8 
Guipúzcoa, 47679",Las Condes,ES1493614256606186650802,Banco Estado,1062636.09,2024-01-21,40,2024-08-06,Toyota Corolla,SUV,BCI,16514000.46,2024-08-18,0.0,,90,5,24,178,42,35,4
